account_id,Count
1,79
2,20
3,20
5,13
7,113
8,19
11,1
12,19
13,18
14,12
15,9
16,5
17,11
18,16
19,5
20,6
21,6
22,61
23,6
24,3
25,4
26,14
28,17
29,6
30,19
31,9
32,9
34,4
35,3
36,28
37,7
38,8
39,7
40,10
42,10
43,27
44,4
45,5
46,47
47,6
48,14
49,11
50,12
53,10
86,9
152,8
218,7
222,9
224,4
225,27
226,15
251,7
252,6
284,3
317,26
350,14
383,3
416,7
449,13
450,4
482,16
515,6
548,2
581,6
647,6
680,5
713,6
746,2
747,9
779,15
812,4
845,4
878,3
913,1
944,3
977,9
1010,4
1043,14
1175,22
1208,4
1209,3
1241,4
1274,2
1340,6
1373,9
1406,1
1439,5
1505,4
1538,29
1572,10
1604,5
1637,3
1670,4
1736,5
1769,5
1770,29
1802,15
1835,4
1868,1
1901,12
1902,60
1934,9
1968,2
2000,4
2033,3
2066,36
2132,5
2133,8
2165,17
2198,8
2231,2
2330,43
2429,6
2430,9
2528,5
2561,17
2627,6
2628,12
2693,8
2726,2
2759,5
2792,5
2825,4
2858,2
2891,5
2957,12
2990,7
3023,3
3089,10
3122,9
3123,15
3155,15
3188,3
3221,8
3287,9
3320,8
3353,5
3386,6
3387,3
3419,4
3485,2
3551,26
3584,3
3617,1
3651,6
3652,1
3683,3
3716,21
3749,1
3750,1
3815,6
3848,1
3849,1
3914,7
3950,10
3980,9
4013,5
4046,5
4079,10
4145,6
4178,6
4244,10
4277,28
4310,2
4376,4
4377,3
4409,4
4410,26
4442,3
4475,5
4607,2
4640,3
4739,2
4740,7
4741,9
4805,10
4838,7
4937,4
4970,5
5003,2
5036,8
5069,5
5168,3
5201,5
5267,3
5300,4
5333,6
5498,3
5531,5
5564,4
5597,4
5630,4
5730,4
5762,3
5795,6
5828,5
5861,1
5894,15
5927,8
6059,10
6125,5
6158,3
6257,15
6290,2
6323,4
6356,4
6422,4
6455,6
6488,4
6554,44
6620,6
6686,3
6719,3
6785,5
6884,2
6917,4
6950,4
6983,5
7082,3
7214,7
7247,15
7313,4
7346,5
7347,5
7478,6
7511,1
7577,4
7578,3
7610,4
7775,4
7874,2
7875,3
7940,3
7941,3
8006,5
8138,2
8171,11
8336,8
8402,7
8435,1
8436,3
8438,7
8440,4
8441,6
8442,6
8443,9
8444,5
8445,20
8446,5
8448,3
8449,10
8451,2
8460,1
8462,4
8465,11
8470,3
8471,3
8474,4
8475,6
8476,1
8479,9
8480,5
8482,5
8486,3
8487,7
8492,8
8493,3
8494,4
8497,4
9419,2
9431,2
9435,5
9468,7
